#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
105000,-697574.141781847,142928.80764700656,-554645.3341348404,299.9595927193682,545.3907715480926,0
110000,-697267.3866178077,143072.38088484254,-554195.0057329652,300.26090475474905,543.1000764576746,248
115000,-698301.7056112764,143218.99818276422,-555082.7074285122,300.56860525050087,543.3240949430294,245
120000,-698089.2958084904,142983.6321913525,-555105.6636171378,300.07465103590886,541.6296965721785,246
125000,-697530.1411662507,143448.68117272452,-554081.4599935261,301.05063275256475,544.1456661040347,247
130000,-697933.0512676202,144370.58181564324,-553562.4694519769,302.985392763021,544.5977533271117,247
135000,-697044.2148890686,142911.1340837888,-554133.0808052798,299.9225018423646,543.8821002821244,247
140000,-698094.9576030192,142704.07945652428,-555390.878146495,299.48796367831363,541.6857828448551,247
145000,-696930.1417577667,143748.95667947625,-553181.1850782905,301.68081025275984,542.5744663543533,247
150000,-697937.864016904,142781.36568627972,-555156.4983306243,299.65016153318913,542.2324221273612,247
155000,-697091.7138329293,143123.4179444045,-553968.2958885247,300.3680144120101,544.8266516024003,0
160000,-697089.8626166936,142645.76822877824,-554444.0943879153,299.3655879836331,544.8762719768838,240
165000,-697044.1954530249,142846.29805163192,-554197.897401393,299.7864327732981,544.1536576606496,243
170000,-695802.678556113,143574.831144337,-552227.8474117761,301.31537920032,544.8770010328554,244
175000,-696957.3768754122,143875.69383534126,-553081.6830400709,301.9467890031708,543.2912405818165,243
180000,-697535.6862285757,143048.6828233343,-554487.0034052413,300.21117047797674,544.8992665619987,242
185000,-697014.4817981711,142684.62756552728,-554329.8542326437,299.4471406882031,545.0023293873761,242
190000,-696939.8749208716,143303.60014122247,-553636.2747796491,300.74615636437477,544.5777249980141,242
195000,-697403.0855377214,142876.27225155733,-554526.8132861641,299.8493385580012,543.3520269847312,242
200000,-698092.5772849829,142558.05669846784,-555534.5205865151,299.18151092217965,544.507835936965,241
205000,-699096.4387006024,143294.18928389097,-555802.2494167114,300.72640613362165,542.2191406162202,240
210000,-697076.1638986599,143008.89434374205,-554067.2695549178,300.1276678144487,544.7901637791076,239
215000,-698420.0710342107,143859.86099921097,-554560.2100349998,301.91356119447767,544.707424447943,238
220000,-698191.7701830105,142715.7283386315,-555476.0418443789,299.5124107718705,543.4801764596749,238
225000,-697980.0152858291,142603.10949144873,-555376.9057943803,299.2760616125261,542.7306691347624,238
230000,-695648.1530536897,143211.62050778972,-552436.5325459,300.55312198707065,545.9010670233993,238
235000,-696069.6273985128,142828.7261230552,-553240.9012754576,299.7495551932921,544.1828346855605,238
240000,-696444.9501312003,141575.65669161573,-554869.2934395846,297.1197830536408,544.5137905917526,238
245000,-696335.9793366501,142103.62170324416,-554232.357633406,298.2278043998292,543.0687168790449,238
250000,-695960.4909748812,143516.6759681641,-552443.8150067171,301.1933310055123,542.8689651735307,238
255000,-697857.0082845441,143361.9062719609,-554495.1020125832,300.86852136214725,543.3681497958172,238
260000,-696548.4419829389,142998.62929969808,-553549.8126832409,300.1061249324967,543.9626686868384,238
265000,-695261.2694927864,143130.32159697835,-552130.947895808,300.38250286152856,544.680290190119,238
270000,-696839.6119228452,143609.95958233162,-553229.6523405137,301.3891020006932,543.5955121247774,238
275000,-695839.7999377511,142964.4896068051,-552875.310330946,300.0344771762163,545.6990190822767,238
280000,-697017.8691968713,143803.09562531306,-553214.7735715583,301.7944297281533,545.510379856329,238
285000,-697177.3519114819,144256.16318727128,-552921.1887242107,302.74526646706306,541.5800339500597,238
290000,-696459.1898364737,142219.12501977495,-554240.0648166987,298.4702070921533,543.7754816870955,238
295000,-697039.5372453057,143896.55268610845,-553142.9845591972,301.9905647295882,543.1250927748392,238
300000,-697709.5388186234,142836.90331305738,-554872.635505566,299.7667163704055,543.4232248869058,238
305000,-696658.1360785728,143434.4384683083,-553223.6976102645,301.02074209660645,544.4403733767638,238
310000,-697283.4450837751,142612.42561971696,-554671.0194640581,299.29561303877153,544.9783139137382,238
315000,-696863.66171788,144315.562596232,-552548.0991216481,302.8699258888616,543.5285332710124,238
320000,-696856.3247008752,143192.3456617591,-553663.9790391161,300.5126705549188,543.6341496516454,238
325000,-697589.4970338247,142116.17139190674,-555473.325641918,298.25414198398704,544.8106974766638,238
330000,-698912.9338220558,142625.52698637953,-556287.4068356763,299.3231084098788,543.7920166043884,238
335000,-697377.2502752966,143437.80150147266,-553939.4487738239,301.02779997440507,543.3252393149127,238
340000,-697411.8269505664,142771.7892301702,-554640.0377203962,299.6300637661847,545.1112816001618,238
345000,-696633.2506021676,142950.70807726303,-553682.5425249045,300.00555437152394,544.934816634799,239
350000,-695796.8446865794,143507.23327430888,-552289.6114122706,301.1735139605819,543.5869994583626,238
355000,-698435.277686655,143143.31923707144,-555291.9584495836,300.40978054538266,543.8615789562109,238
360000,-698458.6798554026,141930.67868273653,-556528.001172666,297.8648550486862,542.6993689302708,238
