#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
105000,-723711.5436451747,143977.59861048157,-579733.9450346931,300.09487913694903,547.958292139893,0
110000,-726127.5776075842,142832.7688113383,-583294.8087962458,297.7086915388648,548.2108249130504,249
115000,-725078.1246522437,143955.0905050603,-581123.0341471834,300.04796512226073,545.9688231969496,251
120000,-724863.2924111597,144050.52254794605,-580812.7698632136,300.2468757003783,546.7215817020161,252
125000,-723913.2879626364,143493.94433453085,-580419.3436281056,299.0867905670169,548.8865581814537,253
130000,-724917.6335694203,143524.10703020374,-581393.5265392165,299.14965917018685,548.53050611885,254
135000,-725401.8152161916,143228.9925580389,-582172.8226581527,298.53454721728184,547.9193351660517,254
140000,-725434.910298889,143242.8895408831,-582192.0207580059,298.5635129274148,547.0473036590402,254
145000,-725939.5481613255,144956.50912061404,-580983.0390407115,302.13523842936127,546.5875496281013,254
150000,-723569.7115361956,143167.8269663234,-580401.8845698722,298.4070587674789,546.1975257278524,254
155000,-725286.3150501614,144270.11296007578,-581016.2020900857,300.70457161157344,546.9034372367761,255
160000,-725825.7097772285,144587.19877894304,-581238.5109982855,301.36547880413224,546.0120030252639,254
165000,-725223.4155649566,144393.52254571836,-580829.8930192383,300.961796242663,547.69303990327,254
170000,-724495.1903447802,143924.93359875982,-580570.2567460204,299.98510858597507,547.4221717402394,254
175000,-725387.4423104604,144121.7178229916,-581265.7244874688,300.3952691842683,546.4577382843893,254
180000,-723539.0208340771,143756.3326777911,-579782.688156286,299.63369091066454,548.7300075007469,254
185000,-724892.4248137553,144026.6260038913,-580865.7988098641,300.1970677401879,546.2532517313604,254
190000,-723494.1121267397,144439.61932311082,-579054.4928036289,301.0578765146893,549.2829121451621,254
195000,-724936.0122585841,144067.80474431845,-580868.2075142657,300.2828972668001,548.1705637312472,254
200000,-724448.7286446877,144112.08774306774,-580336.6409016199,300.3751970501396,546.4239752110066,254
205000,-726012.8644868559,144208.0255696996,-581804.8389171563,300.5751618416461,548.8797330036457,254
210000,-722442.5762122953,143350.58677389944,-579091.989438396,298.7879880432477,548.5382199313663,254
215000,-724693.8724867031,144522.90217975806,-580170.970306945,301.23146434391373,546.571999057898,254
220000,-723833.4502384695,145139.87055283025,-578693.5796856392,302.5174216812723,548.5272443970366,254
225000,-725685.0471151965,144105.8760197203,-581579.1710954761,300.36224985290085,546.0869712512941,254
230000,-725941.6828669305,144646.15266231756,-581295.530204613,301.48835735382795,546.0265228414398,253
235000,-722745.3345762445,143914.46212316942,-578830.872453075,299.96328271700645,547.831710432006,253
240000,-725087.9423144539,144135.3585657746,-580952.5837486793,300.42370080902316,548.1217305324091,253
245000,-724778.337328684,144936.37346034613,-579841.9638683379,302.0932693411645,546.2212817101183,253
250000,-724503.5796533986,144691.61017989443,-579811.9694735042,301.58310520609626,546.138552463901,253
255000,-723402.4222415611,142811.0923889133,-580591.3298526478,297.66351101473794,545.923415117702,253
260000,-724388.6185502852,144400.920578906,-579987.6979713793,300.9772160850324,547.728519747219,253
