Gene	Annotation	Present_ST354	Absent_ST354	Present_Other	Absent_Other	Sensitivity	Specificity	Odds_Ratio	P_Value	Is_Priority_Candidate	Rank	FDR_Q_Value
scrY	Sucrose porin	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	197	0.04148546326149191
group_142	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	196	0.04169712378833626
fliF_2	Flagellar M-ring protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	195	0.04191095519237901
group_174	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	194	0.04212699104388611
opuE	Osmoregulated proline transporter OpuE	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	193	0.04234526560888034
group_1206	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	192	0.04256581386725993
group_1219	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	191	0.04278867153148642
group_1235	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	190	0.04301387506586266
flgC_2	Flagellar basal-body rod protein FlgC	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	189	0.04324146170642278
group_1246	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	188	0.04347146948145695
tagD	Glycerol-3-phosphate cytidylyltransferase	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	187	0.04370393723269469
group_1909	Insertion element IS6110 uncharacterized 12.0 kDa protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	186	0.04393890463717154
group_2018	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	185	0.0441764122298049
group_2068	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	184	0.044416501426706015
group_2099	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	183	0.04465921454925632
group_2146	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	182	0.044904594848977505
group_2153	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	181	0.045152686533226
group_2157	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	180	0.04540353479174392
group_2176	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	179	0.045657185824100034
group_2204	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	178	0.04591368686805566
group_2227	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	177	0.04617308622889213
group_2230	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	176	0.0464354333097381
group_2236	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	175	0.046700778642936605
group_2238	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	174	0.046969173922493716
group_2474	Galactonate operon transcriptional repressor	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	173	0.047240672037652635
focC_2	Chaperone protein FocC	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	172	0.04751532710763899
group_2556	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	171	0.04779319451762518
group_2561	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	170	0.048074330955964154
dhaR_1	PTS-dependent dihydroxyacetone kinase operon regulatory protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	169	0.04835879445274501
air	inverse autotransporter adhesin EaeX/Air	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	168	0.04864664441972563
group_2598	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	167	0.048937941691700036
group_2604	Putative transporter YdfJ	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	166	0.049232748569360885
group_2609	Toxin-antitoxin biofilm protein TabA	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	165	0.049531128863720644
cfaB	CFA/I fimbrial subunit B	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	164	0.049833147942157964
sicA_2	Chaperone protein SicA	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	163	0.05013887277615894
group_1142	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	162	0.05044837199082658
group_1197	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	161	0.05076171591623544
group_1523	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	160	0.05107897664071191
group_1542	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	159	0.051400228066125195
group_1543	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	158	0.05172554596527789
group_1552	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	157	0.05205500804148985
group_1553	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	156	0.05238869399047376
tacA2	Antitoxin TacA2	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	155	0.05272668556460585
group_151	hypothetical protein	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	154	0.05306906663970069
caiT_2	L-carnitine/gamma-butyrobetaine antiporter	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	153	0.053415923284404615
eilA	HilA family transcriptional regulator EilA	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	152	0.05376734383232833
dgt_1	putative deoxyguanosinetriphosphate triphosphohydrolase	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	151	0.05412341895704574
dgoT_1_dgoT_2	D-galactonate transporter	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	150	0.054484241750092706
yraJ	Outer membrane usher protein YraJ	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	149	0.05484990780210675
gcl_1	Glyoxylate carboligase	27	1	0	3	0.9642857142857143	1.0	inf	0.0008898776418242493	No	148	0.055220515287256126
