Gene,Annotation,Present_ST354,Absent_ST354,Present_Other,Absent_Other,Sensitivity,Specificity,Odds_Ratio,P_Value,Is_Priority_Candidate,Rank,FDR_Q_Value
dgcT,putative diguanylate cyclase DgcT,0,28,3,0,0.0,0.0,0.0,0.00022246941045606233,No,1,1.0
group_439,Solute-binding protein,28,0,0,3,1.0,1.0,inf,0.00022246941045606233,No,2,1.0
dctM,C4-dicarboxylate TRAP transporter large permease protein DctM,28,0,0,3,1.0,1.0,inf,0.00022246941045606233,No,3,0.6810530218761589
ylcG,putative protein YlcG,0,28,3,0,0.0,0.0,0.0,0.00022246941045606233,No,4,0.5107897664071192
rusA_2_rusA_3,Crossover junction endodeoxyribonuclease RusA,0,28,3,0,0.0,0.0,0.0,0.00022246941045606233,No,5,0.4086318131256953
group_3358,Demethylluteothin O-methyltransferase,0,28,3,0,0.0,0.0,0.0,0.00022246941045606233,No,6,0.34052651093807945
group_3176,hypothetical protein,0,28,3,0,0.0,0.0,0.0,0.00022246941045606233,No,7,0.2918798665183538
htpG_1,Chaperone protein HtpG,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,8,1.0
group_35,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,9,0.9080706958348785
tsh,Temperature-sensitive hemagglutinin tsh autotransporter,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,10,0.8172636262513906
group_89,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,11,0.7429669329558096
sdsAP,Linear primary-alkylsulfatase,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,12,0.6810530218761589
group_66,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,13,0.6286643278856852
group_61,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,14,0.5837597330367076
group_49,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,15,0.5448424175009271
group_88,hypothetical protein,27,1,0,3,0.9642857142857143,1.0,inf,0.0008898776418242493,No,16,0.5107897664071192
