Organism	Phylum	Identity%	E-value	QueryCoverage%	Score	Title
Escherichia coli	Proteobacteria	100.0	0.00e+00	99.7	1872.0	ref|WP_063082608.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|MED9553597.1| hypothetical protein [Escherich
Escherichia coli	Proteobacteria	100.0	0.00e+00	81.2	1537.0	ref|WP_433268419.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|MGI5748542.1| hypothetical protein [Escherich
Escherichia coli	Proteobacteria	100.0	3.27e-149	58.7	1105.0	gb|MCS1248782.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	2.03e-142	56.1	1059.0	tpg|HFS2208694.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	7.91e-141	55.6	1049.0	gb|EHZ5664514.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	100.0	5.91e-140	55.3	1043.0	gb|EHP5207533.1| hypothetical protein [Escherichia coli]
Salmonella enterica	Proteobacteria	100.0	3.88e-139	55.0	1037.0	gb|ECH0787765.1| hypothetical protein [Salmonella enterica]
Escherichia coli	Proteobacteria	100.0	8.32e-130	51.6	975.0	gb|MHJ1634000.1| GNAT family N-acetyltransferase [Escherichia coli]
Salmonella enterica	Proteobacteria	100.0	1.44e-126	50.4	953.0	gb|EAN4164820.1| hypothetical protein [Salmonella enterica]
Escherichia coli	Proteobacteria	100.0	3.81e-121	48.4	917.0	gb|EFN7457963.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1868.0	gb|EFB1553690.1| hypothetical protein [Escherichia coli] >gb|EGY1212979.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.7	0.00e+00	99.7	1867.0	ref|WP_109551133.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|EHL6350586.1| hypothetical protein [Escherich
Escherichia coli	Proteobacteria	99.7	0.00e+00	95.2	1788.0	gb|MEB6429851.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.6	0.00e+00	75.5	1419.0	gb|EIN2941573.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	6.75e-156	61.3	1150.0	gb|MHJ3731101.1| GNAT family N-acetyltransferase [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	2.35e-150	59.3	1113.0	tpg|HGF1750699.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	5.38e-148	58.4	1097.0	tpg|HFO4655923.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	5.26e-146	57.8	1084.0	tpg|HFK6463066.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	5.77e-144	57.0	1070.0	tpg|HFO8120701.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	4.28e-142	56.1	1057.0	gb|EFC7194264.1| hypothetical protein [Escherichia coli] >tpg|HDC0744894.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	1.78e-140	55.6	1046.0	gb|EGJ7860890.1| hypothetical protein [Escherichia coli] >gb|EOR7168577.1| hypothetical protein [Escherichia coli] >tpg|
Escherichia coli	Proteobacteria	99.5	1.33e-139	55.3	1041.0	tpg|HFS3505997.1| hypothetical protein [Escherichia coli]
Escherichia marmotae	Proteobacteria	99.5	1.03e-138	55.0	1035.0	gb|MEC9697359.1| hypothetical protein [Escherichia marmotae] >gb|MED9384106.1| hypothetical protein [Escherichia marmota
Escherichia coli	Proteobacteria	99.5	2.05e-137	54.4	1026.0	gb|MHI7258167.1| GNAT family N-acetyltransferase [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	8.77e-137	54.1	1022.0	gb|EEZ6078633.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	8.69e-133	53.3	996.0	ref|WP_251134059.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	1.01e-131	52.4	988.0	tpg|HBM2004212.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	6.45e-130	52.4	976.0	gb|MBJ1949037.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.5	6.69e-129	52.1	969.0	gb|EES5620035.1| hypothetical protein [Escherichia coli]
Salmonella enterica	Proteobacteria	99.4	0.00e+00	99.7	1866.0	ref|WP_001417622.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|EAN2206214.1| hypothetical protein [Salmonell
Escherichia marmotae	Proteobacteria	99.4	0.00e+00	99.7	1865.0	gb|MCM4673927.1| hypothetical protein [Escherichia coli] >gb|MED9053199.1| hypothetical protein [Escherichia marmotae] >
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1864.0	ref|WP_033806516.1| MULTISPECIES: GNAT family N-acetyltransferase [Escherichia] >gb|EEQ2039564.1| hypothetical protein [
Escherichia coli	Proteobacteria	99.4	0.00e+00	99.7	1864.0	gb|EHL6315274.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	0.00e+00	94.9	1781.0	tpg|HFF3955508.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	3.02e-126	50.4	951.0	tpg|HHY1760487.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	6.82e-126	51.0	949.0	gb|EEX3458497.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	5.07e-124	49.6	936.0	tpg|HFS4021727.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	6.31e-120	48.1	909.0	tpg|HIB6952083.1| hypothetical protein [Escherichia coli]
Salmonella enterica subsp. enterica serovar Newport	Proteobacteria	99.4	1.34e-119	48.1	906.0	tpg|HFG6663904.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Newport]
Escherichia coli	Proteobacteria	99.4	4.51e-119	47.9	903.0	gb|EER1482017.1| hypothetical protein [Escherichia coli] >gb|MHJ0053008.1| GNAT family N-acetyltransferase [Escherichia 
Escherichia coli	Proteobacteria	99.4	7.41e-117	47.0	888.0	gb|MHJ2832173.1| GNAT family N-acetyltransferase [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	3.44e-114	46.2	870.0	tpg|HAX3189967.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	3.87e-112	46.2	857.0	gb|EFB6804832.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.4	1.22e-111	45.3	853.0	gb|EER1128518.1| hypothetical protein [Escherichia coli] >tpg|HIB7822410.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.3	0.00e+00	86.6	1629.0	tpg|HDC1116345.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.3	0.00e+00	86.3	1625.0	gb|ENA6243311.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.3	0.00e+00	81.2	1530.0	ref|WP_244576246.1| GNAT family N-acetyltransferase [Escherichia coli]
